cnt	mydate	covid
4011	2019-03-15	0
4342	2019-03-16	0
4563	2019-03-17	0
4340	2019-03-18	0
4422	2019-03-19	0
4022	2019-03-20	0
4553	2019-03-21	0
4413	2019-03-22	0
4443	2019-03-23	0
4778	2019-03-24	0
4404	2019-03-25	0
4167	2019-03-26	0
4532	2019-03-27	0
4063	2019-03-28	0
4126	2019-03-29	0
4268	2019-03-30	0
4290	2019-03-31	0
4051	2019-04-01	0
4035	2019-04-02	0
4111	2019-04-03	0
4051	2019-04-04	0
4119	2019-04-05	0
4239	2019-04-06	0
4307	2019-04-07	0
4246	2019-04-08	0
4301	2019-04-09	0
4013	2019-04-10	0
4096	2019-04-11	0
4601	2019-04-12	0
4189	2019-04-13	0
4449	2019-04-14	0
4187	2019-04-15	0
4072	2019-04-16	0
4199	2019-04-17	0
4190	2019-04-18	0
4268	2019-04-19	0
4485	2019-04-20	0
4472	2019-04-21	0
4486	2019-04-22	0
5331	2019-04-23	0
4705	2019-04-24	0
4097	2019-04-25	0
4038	2019-04-26	0
4250	2019-04-27	0
4321	2019-04-28	0
4243	2019-04-29	0
4184	2019-04-30	0
4159	2019-05-01	0
3834	2019-05-02	0
4009	2019-05-03	0
4180	2019-05-04	0
4235	2019-05-05	0
4278	2019-05-06	0
3789	2019-05-07	0
3779	2019-05-08	0
3882	2019-05-09	0
3945	2019-05-10	0
3849	2019-05-11	0
4097	2019-05-12	0
3951	2019-05-13	0
3921	2019-05-14	0
4098	2019-05-15	0
4015	2019-05-16	0
2942	2019-05-17	0
4053	2019-05-18	0
4469	2019-05-19	0
4558	2019-05-20	0
4215	2019-05-21	0
4097	2019-05-22	0
3994	2019-05-23	0
3888	2019-05-24	0
4088	2019-05-25	0
4203	2019-05-26	0
4378	2019-05-27	0
4316	2019-05-28	0
4395	2019-05-29	0
4366	2019-05-30	0
4389	2019-05-31	0
4467	2019-06-01	0
4731	2019-06-02	0
4828	2019-06-03	0
4694	2019-06-04	0
4424	2019-06-05	0
4425	2019-06-06	0
4277	2019-06-07	0
4633	2019-06-08	0
4552	2019-06-09	0
4611	2019-06-10	0
4440	2019-06-11	0
4626	2019-06-12	0
4505	2019-06-13	0
4380	2019-06-14	0
216	2019-06-15	0
5478	2019-06-16	0
4626	2019-06-17	0
4576	2019-06-18	0
4584	2019-06-19	0
4720	2019-06-20	0
4498	2019-06-21	0
4644	2019-06-22	0
4927	2019-06-23	0
4678	2019-06-24	0
4392	2019-06-25	0
4363	2019-06-26	0
3984	2019-06-27	0
4219	2019-06-28	0
4421	2019-06-29	0
4428	2019-06-30	0
4368	2019-07-01	0
4529	2019-07-02	0
4630	2019-07-03	0
4435	2019-07-04	0
4553	2019-07-05	0
4640	2019-07-06	0
4412	2019-07-07	0
4372	2019-07-08	0
4373	2019-07-09	0
4407	2019-07-10	0
4210	2019-07-11	0
4053	2019-07-12	0
4503	2019-07-13	0
4602	2019-07-14	0
4710	2019-07-15	0
4475	2019-07-16	0
4430	2019-07-17	0
4407	2019-07-18	0
4345	2019-07-19	0
4380	2019-07-20	0
5352	2019-07-21	0
4912	2019-07-22	0
4484	2019-07-23	0
4478	2019-07-24	0
4564	2019-07-25	0
4567	2019-07-26	0
4532	2019-07-27	0
4774	2019-07-28	0
4689	2019-07-29	0
4633	2019-07-30	0
4412	2019-07-31	0
5299	2019-08-01	0
7160	2019-08-02	0
5839	2019-08-03	0
5162	2019-08-04	0
4861	2019-08-05	0
4783	2019-08-06	0
4846	2019-08-07	0
4685	2019-08-08	0
4614	2019-08-09	0
4595	2019-08-10	0
4842	2019-08-11	0
4808	2019-08-12	0
4728	2019-08-13	0
4663	2019-08-14	0
4512	2019-08-15	0
4686	2019-08-16	0
4539	2019-08-17	0
4820	2019-08-18	0
