ID	Tweet	anger	disgust	fear	joy	sadness	surprise
2018-En-00355	If the blues were whiskey , I'd stay drunk all the time	0	0	0	0	1	0
2018-En-02803	Witnessed pure beauty from Ft. Lauderdale #SolarEclispe2017 	0	0	0	1	0	0
2018-En-01705	@gemmadanieIs Hahahahahahahah a want to move out as well 😢	0	0	0	0	1	0
2018-En-01418	@MaisieeeH I think the ending is about despair, and about not being able to escape the system... maybe?	0	0	0	0	1	0
2018-En-01722	Great way to end the day(night?morning?) #😄	0	0	0	1	0	0
2018-En-00290	People are truly #amazing. #inspiring day	0	0	0	1	0	0
2018-En-01739	if anyone has any tips to help me worry less then hmu	0	0	1	0	0	0
2018-En-00273	Some days I feel like I'm going to accomplish everything I've ever dreamed.  Today is not one of those days #nomotivation #rainyday #gloomy	0	0	0	0	1	0
2018-En-02396	It is better not to avoid events or persons who annoy you, who give rise to anger, if your anger is not too strong.	1	0	0	0	0	0
2018-En-03629	Dear fellow #humans do not fall in #despair ! Soon we'll #drink #beer in #satanists élites skulls, #celebrating #end of #kakocracy 🐬	0	0	0	1	0	0
2018-En-00204	1/ ...do not give the devil an opportunity [to lead you into sin by holding a grudge, or nurturing anger, or harboring resentment, or	1	0	0	0	0	0
2018-En-00844	What a tiring day 😧	0	0	0	0	1	0
2018-En-01522	@BCFC_Community excellent Jnr blues parents Meeting tonite lots of info given cheers all👍 #futuresbright#development baileyu12s #excited 😃⚽	0	0	0	1	0	0
2018-En-03665	di happy sa life pero may wattpad to fulfill the happiness HAHAHA	0	0	0	1	0	0
2018-En-02547	@mizuvera I hope didn't scare other people who owned this figure that he will move at midnight 😂	0	0	1	0	0	0
2018-En-00565	Even the devil was once an Angel. #TuesdayThoughts #change #think #devil #Angels #anxiety #WordsOfWisdom	0	0	1	0	0	0
2018-En-00698	4 years 😭rest in piece  #coreymontheith #glee	0	0	0	0	1	0
2018-En-04122	Good morning. ❤️ Start every #morning by waking up and thinking of the things you're #grateful for. 🙏 #goodmorning	0	0	0	1	0	0
2018-En-02810	I love #tattoos but seriously #justtattooofus that's just #revenge &amp; it's #permanent for life not sure it's worth the #5mins of fame 🤔	1	0	0	0	0	0
2018-En-03721	@emmiecollison We will have to be patient 😬if two fux is anything to go by it will be worth the wait. 😊	0	0	0	1	0	0
2018-En-03854	Every time I see the #GBBO advert..... #sugacravings #yummy #dietgonetohell     😋😋😋	0	0	0	1	0	0
2018-En-01623	@KaiJest « crouch, as though she is about to attack. She launches herself into the air towards me and explode in tiny dazzling orbs of »	1	0	0	0	0	0
2018-En-01142	@bobandtom @chickmcgee1 @ThatJoshArnold  Not religious, but a game that the Inuit women play - first one to laugh, or breathless, losses.	0	0	0	1	0	0
2018-En-01188	@help_dms___ So good lunch 😊	0	0	0	1	0	0
2018-En-00413	Having a 280 day snap streak end is heartbreaking	0	0	0	0	1	0
2018-En-01628	Holding on to #anger is like drinking poison and expecting the other person to die.	1	0	0	0	0	0
2018-En-02241	Thought It was a joke so sad anyway #biwott	0	0	0	0	1	0
2018-En-02487	Those people's #crying who don't usually cry is really #gloomy	0	0	0	0	1	0
2018-En-03208	'I hear that.. Your sadness. But human can be stronger with defeat their sadness!'	0	0	0	0	1	0
2018-En-02652	Happy Birthday @RyanRolison24! Have an AWESOME day! We're keeping up with you on the Cape and you're doing great!	0	0	0	1	0	0
2018-En-00928	ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time	0	0	0	0	1	0
2018-En-02611	I still think of you\njust to check\nif it still hurts.\nYes, it does!💔  #selenophile😌😌😌	0	0	0	0	1	0
2018-En-01118	And now that Im having the other way around, i feel so upset and sad	0	0	0	0	1	0
2018-En-02177	You still have hope Of being lonely, apart, not having a baby. #dismal	0	0	0	0	1	0
2018-En-03445	@TheSocialCTV was a guest at your show today .. Just wanted to say what an enjoyable experience from arriving to leaving #smiling	0	0	0	1	0	0
2018-En-03189	@johntassparker Well, at the time, I think there was that concern. Now it is all bright and shiny with a price tag to match.	0	0	0	1	0	0
2018-En-03669	#sadness #cry 💔 dad will never understand his 3rd child	0	0	0	0	1	0
2018-En-02868	Fear is an Illusion -Michael Jordan #WednesdayWisdom  #illusion	0	0	1	0	0	0
2018-En-02122	@madlemmingz Video N/A 😟	0	0	0	0	1	0
2018-En-01348	Yeah im more afraid	0	0	1	0	0	0
2018-En-00788	Well seeing the #Eclipse2017 was #amazing really cool even though it only lasted 2 mins	0	0	0	1	0	0
2018-En-02944	i do love shack shake	0	0	0	1	0	0
2018-En-00341	I'm so upset 😭	0	0	0	0	1	0
2018-En-00075	its #easy to be #unhappy 😐	0	0	0	0	1	0
2018-En-02262	Getting a much needed root canal tomorrow! 😆	0	0	1	0	0	0
2018-En-01342	I love watching the bats in the evenings over the vegetable garden. #bliss #happy #urbanfarm	0	0	0	1	0	0
2018-En-01436	From the archives... Strikeforce Champ Ronda Rousey 301 #chirp #church #mayhemmiller #naked #rip #rondarousey #twitter	0	0	0	0	1	0
2018-En-03260	#TOKYO\nFear death as much as optimism.	0	0	1	0	0	0
2018-En-03586	Bout to start the scariest video of my life😱👎 #SoNotReady 	0	0	1	0	0	0
2018-En-03213	and you start to think that your new found home will be yours forever, with no threat in sight, until something or someone comes along...	0	0	1	0	0	0
2018-En-00510	While it's #entertaining to watch other #passengers apply their #makeup on the #bus, I do wonder why they don't get up 5-10 minutes earlier!	0	0	0	1	0	0
2018-En-03152	#scared #paranormal I am gonna read Adam Ellis story 😆😬	0	0	1	0	0	0
2018-En-00345	What a tremendous initiative by @HitKPKD &amp; @ApolloHospitals  #SuperHitDonor	0	0	0	1	0	0
2018-En-00671	'Best customer, ... We are pleased to inform you that the order has been sent today.' #butterflies #excitement #technojoy #music ~ OP-1 &lt;3	0	0	0	1	0	0
2018-En-01658	@MaxineWaters Love you! #relentless Thank you for being a voice for our country!	0	0	0	1	0	0
2018-En-00203	Sometimes i just wanna give up on everything i have but then i realize that if i give up and start fresh my hard work wont show. 	0	0	0	0	1	0
2018-En-02548	You always find the most comfortable position in bed after the alarm goes off	0	1	0	0	0	0
2018-En-02248	#sad #realDonaldTrump #faketweets: Working hard to get the Olympics for the United States (L.A.). Stay tuned! #cnn	0	0	0	0	1	0
2018-En-03487	Catching up on Greys, almost couldn't make it through two episodes because of how sad the storyline was. Two best/worst eps for me. 	0	0	0	0	1	0
2018-En-02634	@TeenMomOG2 @Javimarroquin9 @KailLowry He is so cute! Your #minime for sure! #blessing	0	0	0	1	0	0
2018-En-00473	Don't be afraid to ask questions! He's real &amp; there's always a revelation.	0	0	1	0	0	0
2018-En-02452	Real happiness comes from the person who you truly love the most.. 😍 #071117	0	0	0	1	0	0
2018-En-02090	I just #revenge killed a red ant for biting my son's finger. #iammommabearhearmeroar 🔪🐜🗡	1	0	0	0	0	0
2018-En-01412	MOMS - NO Dancing at the bus stop... you might embarrass your kid 😂😂#luckytohaveme\n#momonfire #giggles	0	0	0	1	0	0
2018-En-04068	I'll have the first Question for Followers ready in a few. It's directed at all of you, so please don't be shy and respond when you can! 😀	0	0	0	1	0	0
2018-En-00008	@ArriFaun This was such a great way to start the day lmao 🤣😂	0	0	0	1	0	0
2018-En-03294	Majka didn't start  :(	0	0	0	0	1	0
2018-En-00986	@NikkiWoods Start where you are. Use what you have. So what you can. AND do it with a #smile and #confidence. ❤	0	0	0	1	0	0
2018-En-01970	Should I change my layout too? This one looks pretty depressed 😂	0	0	0	0	1	0
2018-En-02401	Summer Sale! BOGO 50% OFF everything in our retail showroom! Valid thru 7/15 mix &amp; match...equal or lesser value #BOGO #ragegrafix 	0	0	0	1	0	0
2018-En-02221	I got $150 on McGregor, who wanna bet? #serious	0	0	0	1	0	0
2018-En-01906	Believing in yourself is key in attaining what you want in your life. #start believing in yourself	0	0	0	1	0	0
2018-En-02621	Thought For The Day\n\nRemain Unruffled\n\n2 Thes 3:13 says 'But ye, brethren, be not weary in well doing.' For many years I have	0	0	0	0	1	0
2018-En-03477	@bitterbottom Such an amazing pic 😍	0	0	0	1	0	0
2018-En-01872	Salted caramel Maryland cookie thins habe definitely kept me on track with slimming world in the last few weeks @MarylandCookie 	0	0	0	1	0	0
2018-En-00611	Damn twitter making everybody mad, it's hilarious 😂	0	0	0	1	0	0
2018-En-03308	Would love to stop crying sometime today, on my tenth cry 🙄 deep sadness on top of food poisoning do not mix. #miserable	0	0	0	0	1	0
2018-En-03387	- Due to the historically long bond between dogs and humans, dogs have evolved to understand human laughter. #FeelAlive	0	0	0	1	0	0
2018-En-02735	@LoveIsland That rap reminds me of when the kids were small and they would prepare a performance #cute #crap 😂	0	0	0	1	0	0
2018-En-00669	You can treat someone like a king, a queen, like they're the center of your universe and they will still shit on you lol\n\n#mood #pessimist	0	0	0	0	1	0
2018-En-02927	I'm really upset that it's been 5 years and you still haven't followed me back 😩 @sza why you do this to me solána?? 😭	0	0	0	0	1	0
2018-En-02950	@pattonoswalt @EricaRoman_ Amazing how folks are foaming at the mouth to judge. We're happy for you @pattonoswalt !!!!!!!!!!	0	0	0	1	0	0
2018-En-02072	Mon the Blues! #origin #queenslandvsnsw #blues #hayneplane 🔵🔵🔵🔵🔵🔵🔵	0	0	0	1	0	0
2018-En-00168	We may have reasons to disagree but that in itself is no reason to hate. Our resentment is more a reflection of ourselves than others.	1	0	0	0	0	0
2018-En-02769	mood: kinda bitter bc lee hi didn't appear in jaewon debut mv	1	0	0	0	0	0
2018-En-04269	@friskyako Sub, dub isnt awful but it just isnt justifiable enough to watch it over subbedd	0	1	0	0	0	0
2018-En-04129	Oh death, where is your sting?	0	0	0	0	1	0
2018-En-01951	Woke up to my neighbors singing Perfect by Ed Sheeran. 😊 My mood has been set. 😍	0	0	0	1	0	0
2018-En-04034	Been so active these days. That now that I have a day off, I am soooo restless. :P Haven't been restless in months.	0	0	0	0	1	0
2018-En-03349	So broadly as just to include 'information'? Not sure.\n\nRegardless, this is ONE federal offense of many. You can find SOMETHING that sticks.	0	1	0	0	0	0
2018-En-02856	NEW MUSIC FRIDAY: FIRST SINGLE OFF THE NEXT PROJECT. #untitled #mattrod #hiphop #boston #hartford #animosity #thesemycities	0	0	0	1	0	0
2018-En-03263	@Good_Therapy and @CounsellorsCaf are talking about #depression today! What's trending in your community?	0	0	0	0	1	0
2018-En-00833	Keep a relentless eye on your goals! Perseverance, joyful dedication, and unwavering focus will get you @AmyLeighMercree	0	0	0	1	0	0
2018-En-00792	@realDonaldTrump Maybe we can save them all from the desolate hell that I have no idea about	1	0	0	0	0	0
